"year","avg_free","avg_reduced","avg_full","avg_total","total_served","perc_free_red"
1969,2.9,0,16.5,19.4,3368.2,15.1
1970,4.6,0,17.8,22.4,3565.1,20.7
1971,5.8,0.5,17.8,24.1,3848.3,26.1
1972,7.3,0.5,16.6,24.4,3972.1,32.4
1973,8.1,0.5,16.1,24.7,4008.8,35
1974,8.6,0.5,15.5,24.6,3981.6,37.1
1975,9.4,0.6,14.9,24.9,4063,40.3
1976,10.2,0.8,14.6,25.6,4147.9,43.1
1977,10.5,1.3,14.5,26.2,4250,44.8
1978,10.3,1.5,14.9,26.7,4294.1,44.4
1979,10,1.7,15.3,27,4357.4,43.6
1980,10,1.9,14.7,26.6,4387,45.1
1981,10.6,1.9,13.3,25.8,4210.6,48.6
1982,9.8,1.6,11.5,22.9,3755,50.2
1983,10.3,1.5,11.2,23,3803.3,51.7
1984,10.3,1.5,11.5,23.4,3826.2,51
1985,9.9,1.6,12.1,23.6,3890.1,49.1
1986,10,1.6,12.2,23.7,3942.5,49.1
1987,10,1.6,12.4,23.9,3939.9,48.6
1988,9.8,1.6,12.8,24.2,4032.9,47.4
1989,9.7,1.6,12.9,24.2,4004.9,47.2
1990,9.8,1.7,12.6,24.1,4009,48.3
1991,10.3,1.8,12.2,24.2,4050.7,50.4
1992,11.2,1.7,11.7,24.6,4101.4,53.1
1993,11.7,1.7,11.4,24.9,4137.7,54.8
1994,12.2,1.8,11.3,25.3,4201.6,55.9
1995,12.4,1.9,11.4,25.7,4253.3,56.4
1996,12.6,2,11.3,25.9,4313.2,56.9
1997,12.9,2.1,11.3,26.3,4409,57.6
1998,13,2.2,11.4,26.6,4425,57.8
1999,13,2.4,11.6,27,4513.6,57.6
2000,13,2.5,11.9,27.3,4575,57.1
2001,12.9,2.6,12,27.5,4585.2,56.8
2002,13.3,2.6,12,28,4716.6,57.6
2003,13.7,2.7,11.9,28.4,4762.9,58.5
2004,14.1,2.8,12,29,4842.4,59.1
2005,14.6,2.9,12.2,29.6,4976.4,59.4
2006,14.8,2.9,12.4,30.1,5027.9,59.3
2007,15,3.1,12.6,30.6,5071.3,59.3
2008,15.4,3.1,12.5,31,5208.5,60.1
2009,16.3,3.2,11.9,31.3,5186.1,62.6
2010,17.6,3,11.1,31.8,5278.4,65.3
2011,18.4,2.7,10.8,31.8,5274.5,66.6
2012,18.7,2.7,10.2,31.7,5214.7,68.2
2013,18.9,2.6,9.2,30.7,5097.6,70.5
2014,19.2,2.5,8.8,30.5,5020.3,71.6
